,ID,No,Yes
1,1171,0.899402836,0.100597164
2,1172,0.879960123,0.120039877
3,1173,0.87747188,0.12252812
4,1174,0.966642032,0.033357968
5,1175,0.894014981,0.105985019
6,1176,0.899785035,0.100214965
7,1177,0.965093263,0.034906737
8,1178,0.941569946,0.058430054
9,1179,0.652005248,0.347994752
10,1180,0.960129638,0.039870362
11,1181,0.854072427,0.145927573
12,1182,0.720810659,0.279189341
13,1183,0.945830667,0.054169333
14,1184,0.9954654,0.0045346
15,1185,0.552991596,0.447008404
16,1186,0.772712164,0.227287836
17,1187,0.67618232,0.32381768
18,1188,0.980855301,0.019144699
19,1189,0.904114984,0.095885016
20,1190,0.976138746,0.023861254
21,1191,0.551698602,0.448301398
22,1192,0.996985958,0.003014042
23,1193,0.765620678,0.234379322
24,1194,0.798210687,0.201789313
25,1195,0.702073983,0.297926017
26,1196,0.904504461,0.095495539
27,1197,0.598924284,0.401075716
28,1198,0.561293542,0.438706458
29,1199,0.631941392,0.368058608
30,1200,0.702135601,0.297864399
31,1201,0.210960421,0.789039579
32,1202,0.897604488,0.102395512
33,1203,0.931268876,0.068731124
34,1204,0.317464803,0.682535197
35,1205,0.300011394,0.699988606
36,1206,0.872420952,0.127579048
37,1207,0.990351764,0.009648236
38,1208,0.892515549,0.107484451
39,1209,0.996724267,0.003275733
40,1210,0.99229891,0.00770109
41,1211,0.611297557,0.388702443
42,1212,0.555698289,0.444301711
43,1213,0.992813049,0.007186951
44,1214,0.960345215,0.039654785
45,1215,0.654314424,0.345685576
46,1216,0.999048736,0.000951264
47,1217,0.984602948,0.015397052
48,1218,0.86066827,0.13933173
49,1219,0.473638693,0.526361307
50,1220,0.802191891,0.197808109
51,1221,0.985899527,0.014100473
52,1222,0.645036853,0.354963147
53,1223,0.928736524,0.071263476
54,1224,0.950341785,0.049658215
55,1225,0.823998783,0.176001217
56,1226,0.997214474,0.002785526
57,1227,0.351510401,0.648489599
58,1228,0.613588,0.386412
59,1229,0.951163053,0.048836947
60,1230,0.686316486,0.313683514
61,1231,0.998530028,0.001469972
62,1232,0.802457601,0.197542399
63,1233,0.12052052,0.87947948
64,1234,0.920062798,0.079937202
65,1235,0.86691064,0.13308936
66,1236,0.80908083,0.19091917
67,1237,0.989122673,0.010877327
68,1238,0.878164049,0.121835951
69,1239,0.786039567,0.213960433
70,1240,0.806637836,0.193362164
71,1241,0.68224537,0.31775463
72,1242,0.882324497,0.117675503
73,1243,0.938517554,0.061482446
74,1244,0.777425381,0.222574619
75,1245,0.929234777,0.070765223
76,1246,0.588700843,0.411299157
77,1247,0.968130106,0.031869894
78,1248,0.497533831,0.502466169
79,1249,0.851260546,0.148739454
80,1250,0.8846656,0.1153344
81,1251,0.915615681,0.084384319
82,1252,0.938080619,0.061919381
83,1253,0.960126032,0.039873968
84,1254,0.771870328,0.228129672
85,1255,0.883046179,0.116953821
86,1256,0.974724214,0.025275786
87,1257,0.911134472,0.088865528
88,1258,0.973919617,0.026080383
89,1259,0.906755789,0.093244211
90,1260,0.469122067,0.530877933
91,1261,0.912759436,0.087240564
92,1262,0.790287757,0.209712243
93,1263,0.565508844,0.434491156
94,1264,0.995064731,0.004935269
95,1265,0.936287843,0.063712157
96,1266,0.966152419,0.033847581
97,1267,0.902124779,0.097875221
98,1268,0.932813277,0.067186723
99,1269,0.59476131,0.40523869
100,1270,0.411473977,0.588526023
101,1271,0.796840545,0.203159455
102,1272,0.781024666,0.218975334
103,1273,0.407419849,0.592580151
104,1274,0.976896195,0.023103805
105,1275,0.617255457,0.382744543
106,1276,0.852013381,0.147986619
107,1277,0.741035915,0.258964085
108,1278,0.826402273,0.173597727
109,1279,0.809225136,0.190774864
110,1280,0.955608254,0.044391746
111,1281,0.685804844,0.314195156
112,1282,0.912255875,0.087744125
113,1283,0.918867524,0.081132476
114,1284,0.784784843,0.215215157
115,1285,0.979921459,0.020078541
116,1286,0.881898359,0.118101641
117,1287,0.575030026,0.424969974
118,1288,0.929563524,0.070436476
119,1289,0.75840417,0.24159583
120,1290,0.986434392,0.013565608
121,1291,0.926720215,0.073279785
122,1292,0.872651212,0.127348788
123,1293,0.996127052,0.003872948
124,1294,0.911787738,0.088212262
125,1295,0.884863009,0.115136991
126,1296,0.995103794,0.004896206
127,1297,0.652186028,0.347813972
128,1298,0.988002792,0.011997208
129,1299,0.998777872,0.001222128
130,1300,0.835382389,0.164617611
131,1301,0.827659871,0.172340129
132,1302,0.989678434,0.010321566
133,1303,0.894819913,0.105180087
134,1304,0.243896717,0.756103283
135,1305,0.983830509,0.016169491
136,1306,0.971827698,0.028172302
137,1307,0.687906465,0.312093535
138,1308,0.811608149,0.188391851
139,1309,0.255907745,0.744092255
140,1310,0.768071209,0.231928791
141,1311,0.909455831,0.090544169
142,1312,0.99899496,0.00100504
143,1313,0.720430333,0.279569667
144,1314,0.686702113,0.313297887
145,1315,0.988064581,0.011935419
146,1316,0.850695612,0.149304388
147,1317,0.340035827,0.659964173
148,1318,0.150038814,0.849961186
149,1319,0.62807406,0.37192594
150,1320,0.997991187,0.002008813
151,1321,0.658430356,0.341569644
152,1322,0.903887192,0.096112808
153,1323,0.973922996,0.026077004
154,1324,0.877166996,0.122833004
155,1325,0.233933795,0.766066205
156,1326,0.694358857,0.305641143
157,1327,0.847580803,0.152419197
158,1328,0.604849717,0.395150283
159,1329,0.504839304,0.495160696
160,1330,0.742488861,0.257511139
161,1331,0.778042054,0.221957946
162,1332,0.29401636,0.70598364
163,1333,0.704389835,0.295610165
164,1334,0.704838225,0.295161775
165,1335,0.724064252,0.275935748
166,1336,0.635779826,0.364220174
167,1337,0.997349742,0.002650258
168,1338,0.617182287,0.382817713
169,1339,0.757728701,0.242271299
170,1340,0.798216134,0.201783866
171,1341,0.475040266,0.524959734
172,1342,0.870776779,0.129223221
173,1343,0.237213682,0.762786318
174,1344,0.744729565,0.255270435
175,1345,0.884289811,0.115710189
176,1346,0.896941889,0.103058111
177,1347,0.923235903,0.076764097
178,1348,0.673072221,0.326927779
179,1349,0.991983117,0.008016883
180,1350,0.969078283,0.030921717
181,1351,0.378638395,0.621361605
182,1352,0.927569396,0.072430604
183,1353,0.807383624,0.192616376
184,1354,0.924511025,0.075488975
185,1355,0.991160457,0.008839543
186,1356,0.858749553,0.141250447
187,1357,0.960236132,0.039763868
188,1358,0.232914842,0.767085158
189,1359,0.968782472,0.031217528
190,1360,0.825705704,0.174294296
191,1361,0.565345398,0.434654602
192,1362,0.915903578,0.084096422
193,1363,0.895770601,0.104229399
194,1364,0.874286785,0.125713215
195,1365,0.758220877,0.241779123
196,1366,0.428555414,0.571444586
197,1367,0.919551414,0.080448586
198,1368,0.387154542,0.612845458
199,1369,0.989094006,0.010905994
200,1370,0.942546899,0.057453101
201,1371,0.998725057,0.001274943
202,1372,0.722766188,0.277233812
203,1373,0.936554451,0.063445549
204,1374,0.521490543,0.478509457
205,1375,0.941015615,0.058984385
206,1376,0.549542694,0.450457306
207,1377,0.706091344,0.293908656
208,1378,0.709199706,0.290800294
209,1379,0.749044849,0.250955151
210,1380,0.999195138,0.000804862
211,1381,0.567892147,0.432107853
212,1382,0.937697823,0.062302177
213,1383,0.514093971,0.485906029
214,1384,0.837464156,0.162535844
215,1385,0.943736356,0.056263644
216,1386,0.588802435,0.411197565
217,1387,0.727940418,0.272059582
218,1388,0.584965514,0.415034486
219,1389,0.79878638,0.20121362
220,1390,0.791687581,0.208312419
221,1391,0.859777899,0.140222101
222,1392,0.888282166,0.111717834
223,1393,0.998211863,0.001788137
224,1394,0.99699787,0.00300213
225,1395,0.329807026,0.670192974
226,1396,0.848094371,0.151905629
227,1397,0.487603026,0.512396974
228,1398,0.618428928,0.381571072
229,1399,0.164932399,0.835067601
230,1400,0.903568387,0.096431613
231,1401,0.751020988,0.248979012
232,1402,0.554349668,0.445650332
233,1403,0.99881313,0.00118687
234,1404,0.159475678,0.840524322
235,1405,0.646557183,0.353442817
236,1406,0.667578955,0.332421045
237,1407,0.660640266,0.339359734
238,1408,0.339843614,0.660156386
239,1409,0.990079029,0.009920971
240,1410,0.986061262,0.013938738
241,1411,0.392000292,0.607999708
242,1412,0.644775429,0.355224571
243,1413,0.993482169,0.006517831
244,1414,0.493164852,0.506835148
245,1415,0.957821732,0.042178268
246,1416,0.649222637,0.350777363
247,1417,0.242546501,0.757453499
248,1418,0.448142754,0.551857246
249,1419,0.852785514,0.147214486
250,1420,0.586259119,0.413740881
251,1421,0.187787567,0.812212433
252,1422,0.988837138,0.011162862
253,1423,0.99712874,0.00287126
254,1424,0.704037653,0.295962347
255,1425,0.991746376,0.008253624
256,1426,0.88075033,0.11924967
257,1427,0.926494982,0.073505018
258,1428,0.39847012,0.60152988
259,1429,0.188036734,0.811963266
260,1430,0.994574429,0.005425571
261,1431,0.995417162,0.004582838
262,1432,0.862032987,0.137967013
263,1433,0.960635859,0.039364141
264,1434,0.971654533,0.028345467
265,1435,0.849639252,0.150360748
266,1436,0.894757138,0.105242862
267,1437,0.975787586,0.024212414
268,1438,0.891764178,0.108235822
269,1439,0.176652083,0.823347917
270,1440,0.886259891,0.113740109
271,1441,0.14042135,0.85957865
272,1442,0.365174363,0.634825637
273,1443,0.717884623,0.282115377
274,1444,0.426943371,0.573056629
275,1445,0.179609335,0.820390665
276,1446,0.584066236,0.415933764
277,1447,0.453741151,0.546258849
278,1448,0.965967679,0.034032321
279,1449,0.277541123,0.722458877
280,1450,0.46340397,0.53659603
281,1451,0.691276847,0.308723153
282,1452,0.377647979,0.622352021
283,1453,0.952456703,0.047543297
284,1454,0.925977632,0.074022368
285,1455,0.38392106,0.61607894
286,1456,0.100679938,0.899320062
287,1457,0.192221574,0.807778426
288,1458,0.193837933,0.806162067
289,1459,0.54818508,0.45181492
290,1460,0.676819135,0.323180865
291,1461,0.786416638,0.213583362
292,1462,0.689036113,0.310963887
293,1463,0.54779685,0.45220315
294,1464,0.836516529,0.163483471
295,1465,0.732779457,0.267220543
296,1466,0.671928792,0.328071208
297,1467,0.72004431,0.27995569
298,1468,0.066013865,0.933986135
299,1469,0.998018554,0.001981446
300,1470,0.786621867,0.213378133