ID,Monthly Income
871,5898.9795
872,6467.732441
873,7320.861853
874,5898.9795
875,5898.9795
876,6467.732441
877,5614.603029
878,5898.9795
879,5898.9795
880,6467.732441
881,6752.108911
882,6467.732441
883,5898.9795
884,5614.603029
885,6183.35597
886,5614.603029
887,7889.614794
888,6467.732441
889,6467.732441
890,5898.9795
891,5898.9795
892,6467.732441
893,5898.9795
894,5898.9795
895,6467.732441
896,6467.732441
897,6183.35597
898,5614.603029
899,5898.9795
900,6752.108911
901,8173.991265
902,7605.238323
903,7889.614794
904,7889.614794
905,6467.732441
906,5614.603029
907,6183.35597
908,7605.238323
909,5898.9795
910,5898.9795
911,6467.732441
912,5614.603029
913,6752.108911
914,6183.35597
915,7320.861853
916,5614.603029
917,5898.9795
918,5898.9795
919,5898.9795
920,6752.108911
921,5614.603029
922,5898.9795
923,7605.238323
924,7605.238323
925,6467.732441
926,6467.732441
927,5898.9795
928,6467.732441
929,5898.9795
930,5614.603029
931,5898.9795
932,6467.732441
933,5898.9795
934,8173.991265
935,5898.9795
936,6183.35597
937,7605.238323
938,6183.35597
939,7605.238323
940,5898.9795
941,6467.732441
942,6183.35597
943,7605.238323
944,5614.603029
945,5898.9795
946,5898.9795
947,5898.9795
948,5898.9795
949,5614.603029
950,6752.108911
951,6467.732441
952,5898.9795
953,6467.732441
954,5614.603029
955,8173.991265
956,6752.108911
957,6752.108911
958,8173.991265
959,6467.732441
960,7605.238323
961,5898.9795
962,5898.9795
963,6183.35597
964,8173.991265
965,5898.9795
966,7036.485382
967,5898.9795
968,5898.9795
969,6183.35597
970,6183.35597
971,5898.9795
972,5614.603029
973,5614.603029
974,5898.9795
975,5898.9795
976,5898.9795
977,6183.35597
978,5614.603029
979,5898.9795
980,6183.35597
981,5614.603029
982,6183.35597
983,7605.238323
984,5614.603029
985,6752.108911
986,6467.732441
987,5614.603029
988,6752.108911
989,5898.9795
990,5614.603029
991,7889.614794
992,5898.9795
993,5614.603029
994,7036.485382
995,5898.9795
996,5898.9795
997,5614.603029
998,7320.861853
999,7320.861853
1000,5898.9795
1001,7889.614794
1002,6467.732441
1003,5614.603029
1004,7036.485382
1005,7889.614794
1006,6467.732441
1007,5898.9795
1008,8173.991265
1009,6467.732441
1010,6183.35597
1011,7320.861853
1012,7320.861853
1013,5898.9795
1014,6752.108911
1015,7036.485382
1016,7036.485382
1017,5614.603029
1018,5898.9795
1019,6183.35597
1020,5898.9795
1021,5614.603029
1022,6752.108911
1023,7889.614794
1024,6467.732441
1025,6752.108911
1026,6183.35597
1027,6467.732441
1028,5898.9795
1029,8173.991265
1030,8173.991265
1031,5614.603029
1032,5614.603029
1033,5898.9795
1034,5898.9795
1035,6467.732441
1036,5898.9795
1037,5898.9795
1038,6183.35597
1039,7605.238323
1040,6752.108911
1041,5614.603029
1042,6467.732441
1043,5614.603029
1044,5898.9795
1045,5898.9795
1046,5898.9795
1047,6752.108911
1048,7320.861853
1049,5898.9795
1050,7320.861853
1051,5614.603029
1052,5898.9795
1053,6752.108911
1054,7036.485382
1055,6183.35597
1056,7036.485382
1057,7036.485382
1058,7036.485382
1059,6183.35597
1060,5614.603029
1061,5614.603029
1062,5898.9795
1063,6467.732441
1064,5898.9795
1065,6183.35597
1066,5898.9795
1067,6183.35597
1068,7036.485382
1069,5614.603029
1070,7605.238323
1071,7889.614794
1072,5898.9795
1073,5898.9795
1074,6467.732441
1075,6752.108911
1076,7889.614794
1077,6752.108911
1078,5898.9795
1079,6752.108911
1080,6183.35597
1081,6183.35597
1082,5898.9795
1083,5898.9795
1084,8173.991265
1085,5614.603029
1086,7036.485382
1087,5898.9795
1088,7320.861853
1089,5614.603029
1090,5898.9795
1091,5898.9795
1092,5898.9795
1093,5898.9795
1094,7605.238323
1095,5898.9795
1096,7320.861853
1097,6183.35597
1098,7320.861853
1099,5898.9795
1100,5898.9795
1101,5898.9795
1102,7605.238323
1103,6467.732441
1104,7605.238323
1105,6183.35597
1106,5614.603029
1107,5898.9795
1108,6752.108911
1109,5898.9795
1110,5614.603029
1111,5898.9795
1112,6467.732441
1113,7605.238323
1114,6467.732441
1115,6183.35597
1116,5614.603029
1117,6183.35597
1118,5614.603029
1119,6183.35597
1120,5898.9795
1121,6752.108911
1122,6183.35597
1123,5898.9795
1124,8173.991265
1125,5614.603029
1126,5614.603029
1127,5898.9795
1128,7889.614794
1129,5898.9795
1130,5898.9795
1131,8173.991265
1132,7320.861853
1133,5898.9795
1134,5898.9795
1135,7605.238323
1136,5898.9795
1137,7320.861853
1138,5614.603029
1139,5614.603029
1140,5898.9795
1141,5614.603029
1142,5614.603029
1143,7605.238323
1144,5898.9795
1145,6752.108911
1146,7889.614794
1147,6183.35597
1148,7889.614794
1149,5898.9795
1150,5898.9795
1151,5898.9795
1152,6467.732441
1153,6467.732441
1154,5898.9795
1155,5898.9795
1156,6467.732441
1157,7320.861853
1158,6752.108911
1159,5898.9795
1160,7320.861853
1161,5898.9795
1162,6752.108911
1163,5898.9795
1164,6752.108911
1165,5898.9795
1166,5898.9795
1167,6752.108911
1168,5614.603029
1169,5614.603029
1170,5898.9795